07.12.2018 17:12:23 | Windows_NT | \Users\Obsidian | C:\Users\Obsidian\AppData\Roaming | AddButtons | 76 | Path not found | Очаг | AddButtons | 
07.12.2018 17:12:23 | Windows_NT | \Users\Obsidian | C:\Users\Obsidian\AppData\Roaming | Document_DocumentOpened | 5 | Invalid procedure call or argument | Очаг | Document_DocumentOpened | 
07.12.2018 17:12:38 | Windows_NT | \Users\Obsidian | C:\Users\Obsidian\AppData\Roaming | AddButtons | 76 | Path not found | Очаг | AddButtons | 
07.12.2018 17:12:38 | Windows_NT | \Users\Obsidian | C:\Users\Obsidian\AppData\Roaming | Document_DocumentOpened | 5 | Invalid procedure call or argument | Очаг | Document_DocumentOpened | 
07.12.2018 17:12:54 | Windows_NT | \Users\Obsidian | C:\Users\Obsidian\AppData\Roaming | AddButtons | 76 | Path not found | Очаг | AddButtons | 
07.12.2018 17:12:54 | Windows_NT | \Users\Obsidian | C:\Users\Obsidian\AppData\Roaming | Document_DocumentOpened | 5 | Invalid procedure call or argument | Очаг | Document_DocumentOpened | 
07.12.2018 17:13:21 | Windows_NT | \Users\Obsidian | C:\Users\Obsidian\AppData\Roaming | AddButtons | 76 | Path not found | Очаг | AddButtons | 
07.12.2018 17:13:21 | Windows_NT | \Users\Obsidian | C:\Users\Obsidian\AppData\Roaming | Document_DocumentOpened | 5 | Invalid procedure call or argument | Очаг | Document_DocumentOpened | 
07.12.2018 17:13:42 | Windows_NT | \Users\Obsidian | C:\Users\Obsidian\AppData\Roaming | sf_ObjectsListCreation | 3024 | Не удается найти файл 'D:\GitRepositories\FireModelling\Modelling in Visio\Signs.fdb'. | DAO.Workspace | sf_ObjectsListCreation | 
07.12.2018 17:13:42 | Windows_NT | \Users\Obsidian | C:\Users\Obsidian\AppData\Roaming | sf_ObjectTypesListRefresh | 3024 | Не удается найти файл 'D:\GitRepositories\FireModelling\Modelling in Visio\Signs.fdb'. | DAO.Workspace | sf_ObjectTypesListRefresh | 
07.12.2018 17:13:43 | Windows_NT | \Users\Obsidian | C:\Users\Obsidian\AppData\Roaming | Sm_ShapeFormShow | 9 | Subscript out of range | Очаг | Sm_ShapeFormShow | 
07.12.2018 17:38:31 | Windows_NT | \Users\Obsidian | C:\Users\Obsidian\AppData\Roaming | AddButtons | 76 | Path not found | Очаг | AddButtons | 
07.12.2018 17:38:31 | Windows_NT | \Users\Obsidian | C:\Users\Obsidian\AppData\Roaming | Document_DocumentOpened | 5 | Invalid procedure call or argument | Очаг | Document_DocumentOpened | 
07.12.2018 17:42:11 | Windows_NT | \Users\Obsidian | C:\Users\Obsidian\AppData\Roaming | AddButtons | 76 | Path not found | Очаг | AddButtons | 
07.12.2018 17:42:11 | Windows_NT | \Users\Obsidian | C:\Users\Obsidian\AppData\Roaming | Document_DocumentOpened | 5 | Invalid procedure call or argument | Очаг | Document_DocumentOpened | 
07.12.2018 17:43:02 | Windows_NT | \Users\Obsidian | C:\Users\Obsidian\AppData\Roaming | AddButtons | 76 | Path not found | Очаг | AddButtons | 
07.12.2018 17:43:02 | Windows_NT | \Users\Obsidian | C:\Users\Obsidian\AppData\Roaming | Document_DocumentOpened | 5 | Invalid procedure call or argument | Очаг | Document_DocumentOpened | 
